epoch,step,test_acc,test_f1,test_loss,train_acc,train_f1,train_loss,val_acc,val_f1,val_loss
0,49,,,,0.375,0.3333333432674408,2.7697229385375977,,,
0,99,,,,0.5,0.44999998807907104,2.104053020477295,,,
0,149,,,,0.625,0.5750000476837158,1.8158289194107056,,,
0,199,,,,0.25,0.2083333432674408,1.9497570991516113,,,
0,249,,,,0.75,0.6964285373687744,1.6090388298034668,,,
0,299,,,,0.875,0.875,0.5992060899734497,,,
0,349,,,,1.0,1.0,0.47446683049201965,,,
0,399,,,,0.5,0.5416666865348816,1.7288261651992798,,,
0,449,,,,0.625,0.625,1.0776954889297485,,,
0,499,,,,0.625,0.5833333730697632,0.7931547164916992,,,
0,549,,,,0.875,0.875,0.5188384056091309,,,
0,599,,,,0.875,0.875,0.5954763293266296,,,
0,649,,,,0.75,0.75,0.5656987428665161,,,
0,699,,,,0.75,0.75,0.6665083765983582,,,
0,749,,,,0.875,0.875,0.266814649105072,,,
0,799,,,,0.75,0.7083333730697632,0.9295693635940552,,,
0,849,,,,0.75,0.7916666865348816,0.6457111239433289,,,
0,899,,,,0.625,0.625,1.1488447189331055,,,
0,949,,,,0.75,0.75,0.6362156271934509,,,
0,999,,,,1.0,1.0,0.18729464709758759,,,
0,1049,,,,0.75,0.7916666865348816,0.7074161171913147,,,
0,1099,,,,1.0,1.0,0.05709731578826904,,,
0,1131,,,,,,,0.8638975024223328,0.86174476146698,0.48737573623657227
1,1149,,,,1.0,1.0,0.08530350774526596,,,
1,1199,,,,1.0,1.0,0.22704488039016724,,,
1,1249,,,,0.875,0.9166666865348816,0.4463515281677246,,,
1,1299,,,,1.0,1.0,0.0686691403388977,,,
1,1349,,,,1.0,1.0,0.2337818145751953,,,
1,1399,,,,1.0,1.0,0.08921726047992706,,,
1,1449,,,,1.0,1.0,0.1399310678243637,,,
1,1499,,,,0.75,0.75,0.8567204475402832,,,
1,1549,,,,0.875,0.875,0.26318684220314026,,,
1,1599,,,,0.875,0.875,0.48187586665153503,,,
1,1649,,,,0.75,0.7083333730697632,0.492679238319397,,,
1,1699,,,,0.875,0.875,0.44783279299736023,,,
1,1749,,,,0.875,0.824999988079071,0.3458420932292938,,,
1,1799,,,,0.875,0.875,0.3682364225387573,,,
1,1849,,,,1.0,1.0,0.08452242612838745,,,
1,1899,,,,1.0,1.0,0.03080006130039692,,,
1,1949,,,,1.0,1.0,0.09931551665067673,,,
1,1999,,,,0.875,0.875,0.19174931943416595,,,
1,2049,,,,0.875,0.8333333730697632,0.28947558999061584,,,
1,2099,,,,1.0,1.0,0.0651562362909317,,,
1,2149,,,,0.875,0.875,0.3409845530986786,,,
1,2199,,,,1.0,1.0,0.048475176095962524,,,
1,2249,,,,1.0,1.0,0.03439099341630936,,,
1,2263,,,,,,,0.901016354560852,0.9012775421142578,0.3796027898788452
2,2299,,,,1.0,1.0,0.06228681653738022,,,
2,2349,,,,1.0,1.0,0.08174216002225876,,,
2,2399,,,,1.0,1.0,0.0929144024848938,,,
2,2449,,,,1.0,1.0,0.08314719796180725,,,
2,2499,,,,1.0,1.0,0.03732435405254364,,,
2,2549,,,,1.0,1.0,0.014122477732598782,,,
2,2599,,,,1.0,1.0,0.026301076635718346,,,
2,2649,,,,1.0,1.0,0.025446370244026184,,,
2,2699,,,,1.0,1.0,0.020276010036468506,,,
2,2749,,,,1.0,1.0,0.013949473388493061,,,
2,2799,,,,1.0,1.0,0.02221001125872135,,,
2,2849,,,,1.0,1.0,0.024475272744894028,,,
2,2899,,,,1.0,1.0,0.03270261734724045,,,
2,2949,,,,1.0,1.0,0.00947168655693531,,,
2,2999,,,,1.0,1.0,0.023460665717720985,,,
2,3049,,,,1.0,1.0,0.09788845479488373,,,
2,3099,,,,1.0,1.0,0.02726825699210167,,,
2,3149,,,,0.875,0.875,0.19514799118041992,,,
2,3199,,,,1.0,1.0,0.05526459962129593,,,
2,3249,,,,1.0,1.0,0.05444333702325821,,,
2,3299,,,,1.0,1.0,0.01726292446255684,,,
2,3349,,,,1.0,1.0,0.013174732215702534,,,
2,3395,,,,,,,0.9094122648239136,0.9084528684616089,0.3655593991279602
3,3396,0.8454594016075134,0.842987060546875,0.5875590443611145,,,,,,
